2021-11-30 00:15:41 WARN  [verManager] RPServerManager          ( 207) - Turn duration overflow by 461 ms:  0 0 0 734 734 734 734 761 762 762 762 762
2021-11-30 00:16:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/159202
2021-11-30 00:17:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/170464
2021-11-30 00:18:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/182236
2021-11-30 00:19:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/193506
2021-11-30 00:20:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/137251
2021-11-30 00:21:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/149023
2021-11-30 00:22:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/159779
2021-11-30 00:23:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/171555
2021-11-30 00:24:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/182815
2021-11-30 00:25:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/194589
2021-11-30 00:26:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/138499
2021-11-30 00:27:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/149756
2021-11-30 00:28:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/161027
2021-11-30 00:29:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/172803
2021-11-30 00:30:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/184065
2021-11-30 00:31:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/195331
2021-11-30 00:32:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/139564
2021-11-30 00:33:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/150828
2021-11-30 00:33:43 INFO  [verManager] TeleporterBehaviour      ( 201) - Cannot place teleporting NPC Rose Leigh at 0_orril_river_s_w2 117 94
2021-11-30 00:34:40 INFO  [marauroad ] Statistics               ( 122) - Total/Used memory: 225280/162604
